一百洛叉,俱胝
俱胝俱胝,阿庾多
阿庾多阿庾多,那由他
那由他那由他,頻婆羅
頻婆羅頻婆羅,矜羯羅
矜羯羅矜羯羅,阿伽羅
阿伽羅阿伽羅,微濕伐羅
微濕伐羅微濕伐羅,鉢囉伐羅
鉢囉伐羅鉢囉伐羅,鉢囉麼
鉢囉麼鉢囉麼,婆嚩羅
婆嚩羅婆嚩羅,阿婆羅
阿婆羅阿婆羅,多婆羅
多婆羅多婆羅,獶鉢彌耶
獶鉢彌耶獶鉢彌耶,阿枲摩
阿枲摩阿枲摩,普摩
普摩普摩,禰摩
禰摩禰摩,阿婆鈐
阿婆鈐阿婆鈐,微婆伽
微婆伽微婆伽,微婆奢
微婆奢微婆奢,沒哩嚩迦
沒哩嚩迦沒哩嚩迦,那賀羅
那賀羅那賀羅,毘邏伽
毘邏伽毘邏伽,彌嚩伽
彌嚩伽彌嚩伽,毘伽婆
毘伽婆毘伽婆,僧羯邏摩
僧羯邏摩僧羯邏摩,毘薩羅
毘薩羅毘薩羅,毘贍婆
毘贍婆毘贍婆,慈汦伽
慈汦伽慈汦伽,毘盛伽
毘盛伽毘盛伽,毘嚕陀
毘嚕陀毘嚕陀,微皤訶
微皤訶微皤訶,微薄帝
微薄帝微薄帝,毘佉擔
毘佉擔毘佉擔,都邏那
都邏那都邏那,阿覩[里*也]
阿覩[里*也]阿覩[里*也],嚩邏那
嚩邏那嚩邏那,微皤蘭
微皤蘭微皤蘭,三末耶
三末耶三末耶,微覩羅
微覩羅微覩羅,奚婆羅
奚婆羅奚婆羅,陀嚩羅
陀嚩羅陀嚩羅,微度栗娜
微度栗娜微度栗娜,奢彌陀
奢彌陀奢彌陀,儞[口*尸]嚩囉
儞[口*尸]嚩囉儞[口*尸]嚩囉,微者囉
微者囉微者囉,微舍囉
微舍囉微舍囉,微儞薩多
微儞薩多微儞薩多,阿瓢孽哆
阿瓢孽哆阿瓢孽哆,微悉步多
微悉步多微悉步多,泥嚩囉
泥嚩囉泥嚩囉,波哩殺陀
波哩殺陀波哩殺陀,微目差
微目差微目差,鉢哩哆
鉢哩哆鉢哩哆,喝哩多
喝哩多喝哩多,阿嚕迦
阿嚕迦阿嚕迦,印[寧*吉]哩耶
印[寧*吉]哩耶印[寧*吉]哩耶,系嚕迦
系嚕迦系嚕迦,奴嚩那
奴嚩那奴嚩那,何嚕那
何嚕那何嚕那,婆嚕陀
婆嚕陀婆嚕陀,謎嚕陀
謎嚕陀謎嚕陀,乞羼耶
乞羼耶乞羼耶,阿差目多
阿差目多阿差目多,翳嚕婆耶
翳嚕婆耶翳嚕婆耶,微麼嚕耶
微麼嚕耶微麼嚕耶,曼弩婆耶
曼弩婆耶曼弩婆耶,微灑馱耶
微灑馱耶微灑馱耶,三麼陀
三麼陀三麼陀,鉢囉麼怛囉
鉢囉麼怛囉鉢囉麼怛囉,阿囉麼怛囉
阿囉麼怛囉阿囉麼怛囉,勃麼怛囉勃麼
怛囉勃麼怛囉,阿畔麼怛囉
阿畔麼怛囉阿畔麼怛囉,伽麼怛囉
伽麼怛囉伽麼怛囉,那麼怛囉
那麼怛囉那麼怛囉,奚麼怛囉
奚麼怛囉奚麼怛囉,鞞麼怛囉
鞞麼怛囉鞞麼怛囉,鉢囉麼怛囉
