一百洛叉,俱胝
俱胝俱胝,阿庾多
阿庾多阿庾多,那由他
那由他那由他,頻婆羅
頻婆羅頻婆羅,矜羯羅
矜羯羅矜羯羅,阿伽羅
阿伽羅阿伽羅,最勝
最勝最勝,摩婆(上聲呼)羅
摩婆羅摩婆羅,阿婆羅
阿婆羅阿婆羅,多婆羅
多婆羅多婆羅,界分
界分界分,普摩
普摩普摩,禰摩
禰摩禰摩,阿婆鈐
阿婆鈐阿婆鈐,彌伽婆
彌伽婆彌伽婆,毘攞伽
毘攞伽毘攞伽,毘伽婆
毘伽婆毘伽婆,僧羯邏摩
僧羯邏摩僧羯邏摩,毘薩羅
毘薩羅毘薩羅,毘贍婆
毘贍婆毘贍婆,毘盛伽
毘盛伽毘盛伽,毘素陀
毘素陀毘素陀,毘婆訶
毘婆訶毘婆訶,毘薄底
毘薄底毘薄底,毘佉擔
毘佉擔毘佉擔,稱量
稱量稱量,一持
一持一持,異路
異路異路,顛倒
顛倒顛倒,三末耶
三末耶三末耶,毘覩羅
毘覩羅毘覩羅,奚婆羅
奚婆羅奚婆羅,伺察
伺察伺察,周廣
周廣周廣,高出
高出高出,最妙
最妙最妙,泥羅婆
泥羅婆泥羅婆,訶理婆
訶理婆訶理婆,一動
一動一動,訶理蒲
訶理蒲訶理蒲,訶理三
訶理三訶理三,奚魯伽
奚魯伽奚魯伽,達攞步陀
達攞步陀達攞步陀,訶魯那
訶魯那訶魯那,摩魯陀
摩魯陀摩魯陀,懺慕陀
懺慕陀懺慕陀,瑿攞陀
瑿攞陀瑿攞陀,摩魯摩
摩魯摩摩魯摩,調伏
調伏調伏,離憍慢
離憍慢離憍慢,不動
不動不動,極量
極量極量,阿麼怛羅
阿麼怛羅阿麼怛羅,勃麼怛羅
勃麼怛羅勃麼怛羅,伽麼怛羅
伽麼怛羅伽麼怛羅,那麼怛羅
那麼怛羅那麼怛羅,奚麼怛羅
奚麼怛羅奚麼怛羅,鞞麼怛羅
鞞麼怛羅鞞麼怛羅,鉢羅麼怛羅
鉢羅麼怛羅鉢羅麼怛羅,尸婆麼怛羅
尸婆麼怛羅尸婆麼怛羅,翳羅
翳羅翳羅,薜羅
薜羅薜羅,諦羅
諦羅諦羅,偈羅
偈羅偈羅,窣步羅
窣步羅窣步羅,泥羅
泥羅泥羅,計羅
計羅計羅,細羅
細羅細羅,睥羅
睥羅睥羅,謎羅
謎羅謎羅,娑攞荼
娑攞荼娑攞荼,謎魯陀
謎魯陀謎魯陀,契魯陀
契魯陀契魯陀,摩覩羅
摩覩羅摩覩羅,娑母羅
娑母羅娑母羅,阿野娑
阿野娑阿野娑,迦麼羅
迦麼羅迦麼羅,摩伽婆
摩伽婆摩伽婆,阿怛羅
阿怛羅阿怛羅,醯魯耶
醯魯耶醯魯耶,薜魯婆
薜魯婆薜魯婆,羯羅波
羯羅波羯羅波,訶婆婆
訶婆婆訶婆婆,毘婆羅
毘婆羅毘婆羅,那婆羅
那婆羅那婆羅,摩攞羅
摩攞羅摩攞羅,娑婆羅
娑婆羅娑婆羅,迷攞普
迷攞普迷攞普,者麼羅
者麼羅者麼羅,馱麼羅
馱麼羅馱麼羅,鉢攞麼陀
鉢攞麼陀鉢攞麼陀,毘伽摩
毘伽摩毘伽摩,烏波跋多
烏波跋多烏波跋多,演說
演說演說,無盡
無盡無盡,出生
出生出生,無我
無我無我,阿畔多
阿畔多阿畔多,青蓮華
青蓮華青蓮華,鉢頭摩
鉢頭摩鉢頭摩,僧祇
僧祇僧祇,趣
趣趣,至
至至,阿僧祇
阿僧祇阿僧祇,阿僧祇轉
阿僧祇轉阿僧祇轉,無量
無量無量,無量轉
無量轉無量轉,無邊
無邊無邊,無邊轉
無邊轉無邊轉,無等
無等無等,無等轉
無等轉無等轉,不可數
不可數不可數,不可數轉
不可數轉不可數轉,不可稱
不可稱不可稱,不可稱轉
不可稱轉不可稱轉,不可思
不可思不可思,不可思轉
不可思轉不可思轉,不可量
不可量不可量,不可量轉
不可量轉不可量轉,不可說
不可說不可說,不可說轉
不可說轉不可說轉,不可說不可說
此又不可說不可說,不可說不可說轉
